user_id,total_logons,after_hours_logons,weekend_logons,failed_logons,total_emails,emails_with_attachments,external_emails,total_http,suspicious_http,total_file,exe_zip_files,total_device,num_distinct_pcs,total_email_megabytes,role,department,O,C,E,A,N,label,total_actions,after_hours_ratio,weekend_activity_ratio,failed_logon_ratio,attachment_ratio,external_email_ratio,suspicious_file_ratio,suspicious_http_ratio,device_action_ratio,total_suspicious_flags,overall_suspicious_ratio,exfiltration_intensity,activity_intensity
ALB0892,470,0,116,0,680,83,187,6815,3,0,0,0,1,19.423836,0,0,25,19,44,22,30,0,7965,0.0,0.2462845,0.0,0.12187959,0.27459618,0.0,0.00044014084,0.0,273,0.03427065,0.023851369,7965
ALC0788,692,0,0,0,1004,400,456,10034,736,0,0,0,1,29.078594,AssemblySupervisor,3 - Assembly,34,18,15,36,35,0,11730,0.0,0.0,0.0,0.39800996,0.45373136,0.0,0.0733433,0.0,1592,0.13570881,0.101611115,11730
ALD0529,968,0,0,0,993,317,424,9976,672,0,0,0,1,28.680014,Technician,3 - FieldService,35,21,19,21,27,0,11937,0.0,0.0,0.0,0.3189135,0.42655936,0.0,0.06735492,0.0,1413,0.11836153,0.09180767,11937
ALD0544,692,0,0,0,2971,1183,1169,32775,2624,0,0,0,1,85.208336,Mathematician,1 - Research,16,18,18,13,32,0,36438,0.0,0.0,0.0,0.39804846,0.39333782,0.0,0.08005858,0.0,4976,0.13655698,0.10409177,36438
ALH0402,692,0,0,0,3039,606,1153,32870,1597,0,0,0,1,86.39005,SoftwareEngineer,2 - SoftwareManagement,43,23,43,46,32,0,36601,0.0,0.0,0.0,0.1993421,0.3792763,0.0,0.048583858,0.0,3356,0.091688976,0.075132504,36601
AMD0077,692,0,0,0,5984,1233,2290,65740,3005,0,0,0,1,169.68788,ChiefEngineer,3 - Engineering,23,19,12,25,25,0,72416,0.0,0.0,0.0,0.20601504,0.38262323,0.0,0.045709677,0.0,6528,0.09014458,0.07311819,72416
AMH0464,692,0,0,0,337,67,126,3460,38,0,0,0,1,9.454956,ProductionLineWorker,3 - Assembly,45,16,42,37,21,0,4489,0.0,0.0,0.0,0.19822486,0.37278107,0.0,0.010979486,0.0,231,0.05144766,0.03652561,4489
AMH0794,692,0,0,0,2957,618,676,32870,3930,0,0,0,1,84.57608,Physicist,1 - Research,43,42,33,40,31,0,36519,0.0,0.0,0.0,0.20892495,0.22853279,0.0,0.119558275,0.0,5224,0.1430449,0.12612267,36519
AMJ0297,692,0,0,0,330,0,124,3460,157,0,0,0,1,9.642023,ProductionLineWorker,3 - Assembly,16,43,50,18,28,0,4482,0.0,0.0,0.0,0.0,0.37462234,0.0,0.04536261,0.0,281,0.06268124,0.06268124,4482
AMM0014,692,0,0,0,6029,0,2815,65740,2123,0,0,0,1,173.11508,Director,5 - Medical,48,38,15,44,36,0,72461,0.0,0.0,0.0,0.0,0.46683252,0.0,0.032293394,0.0,4938,0.068146065,0.068146065,72461
AMR0318,1013,30,5,0,4974,502,1274,56052,7389,230,20,281,1,142.87587,Salesman,2 - Sales,45,50,17,25,21,0,62550,0.0295858,0.0049309665,0.0,0.100904524,0.2560804,0.08658009,0.13182166,0.004492334,9215,0.1473198,0.14298733,62550
AMR0400,692,0,0,0,2987,0,1155,32870,1559,0,0,0,1,84.94502,SoftwareEngineer,2 - SoftwareManagement,19,16,47,28,28,0,36549,0.0,0.0,0.0,0.0,0.3865462,0.0,0.047427826,0.0,2714,0.074254446,0.074254446,36549
AMV0036,692,0,0,0,4711,0,2150,49478,3159,0,0,0,1,133.92412,SecurityGuard,6 - Security,43,36,42,37,26,0,54881,0.0,0.0,0.0,0.0,0.45628184,0.0,0.06384527,0.0,5309,0.096734814,0.096734814,54881
AMW0392,1254,0,275,0,3956,398,1542,40500,2609,0,0,0,1,112.771065,ComputerScientist,2 - SoftwareManagement,47,47,22,44,26,0,45710,0.0,0.21912351,0.0,0.10058125,0.38968915,0.0,0.06441816,0.0,4549,0.099516526,0.09080965,45710
ANM0123,82,0,0,0,270,103,143,2850,162,47,2,57,2,7.696867,0,0,22,15,16,21,26,0,3306,0.0,0.0,0.0,0.38007382,0.5276753,0.041666668,0.056822166,0.017236166,410,0.123979434,0.10946477,3306
ANP0555,692,0,0,0,3009,0,1169,32870,3011,0,0,0,1,86.045586,Mathematician,1 - Research,13,40,42,23,28,0,36571,0.0,0.0,0.0,0.0,0.3883721,0.0,0.0916005,0.0,4180,0.11429509,0.11429509,36571
ANT0430,1022,0,0,0,3003,1205,921,32870,467,0,0,0,3,85.37038,TestEngineer,3 - Engineering,12,19,23,48,31,0,36895,0.0,0.0,0.0,0.40113184,0.3065912,0.0,0.014207052,0.0,2593,0.07027862,0.037619255,36895
AOB0019,692,0,0,0,3638,409,1013,39444,740,0,0,0,1,103.71829,HumanResourceSpecialist,1 - Personnel,11,17,13,24,28,0,43774,0.0,0.0,0.0,0.11239351,0.27837318,0.0,0.0187603,0.0,2162,0.04938892,0.04004569,43774
AOK0844,1186,28,331,0,370,109,136,3830,178,1321,86,809,15,10.884531,0,0,11,30,44,26,31,0,7516,0.023588879,0.27885425,0.0,0.29380053,0.36657682,0.06505295,0.046463065,0.10762272,537,0.071438074,0.1493947,7516
AOS0987,1149,0,0,0,3017,857,1398,31140,1569,0,0,0,3,86.235664,HealthSafetyEngineer,4 - Safety,16,32,40,30,27,0,35306,0.0,0.0,0.0,0.28396288,0.4632207,0.0,0.05038374,0.0,3824,0.10830714,0.08403433,35306
APG0307,692,0,0,0,330,73,108,3460,139,0,0,0,1,9.222782,ProductionLineWorker,3 - Assembly,43,39,36,43,22,0,4482,0.0,0.0,0.0,0.2205438,0.326284,0.0,0.040161803,0.0,320,0.07138077,0.055097032,4482
AQD0820,692,346,0,0,3018,594,1245,32870,2301,0,0,0,1,87.48822,SoftwareEngineer,2 - SoftwareManagement,41,31,27,24,39,0,36580,0.4992785,0.0,0.0,0.19675389,0.4123882,0.0,0.07000091,0.0,4486,0.12263197,0.09693557,36580
ARA0252,963,0,0,0,2981,1222,1262,32870,4040,0,0,0,1,84.92275,MechanicalEngineer,3 - Engineering,39,39,27,21,35,0,36814,0.0,0.0,0.0,0.4097921,0.4232059,0.0,0.12290469,0.0,6524,0.17721038,0.14401738,36814
ARB0834,422,0,0,0,207,49,116,2110,59,0,0,0,1,5.860076,0,0,40,42,40,49,26,0,2739,0.0,0.0,0.0,0.23557693,0.5576923,0.0,0.02794884,0.0,224,0.08175182,0.06386861,2739
ARB0881,692,0,0,0,1016,386,465,10034,567,0,0,0,1,28.773792,Technician,3 - FieldService,38,46,43,10,35,0,11742,0.0,0.0,0.0,0.3795477,0.45722714,0.0,0.05650224,0.0,1418,0.12075279,0.087882146,11742
ARD0509,724,0,0,0,994,304,250,10380,298,0,0,0,3,28.99674,Technician,3 - FieldService,50,40,35,32,32,0,12098,0.0,0.0,0.0,0.30552763,0.2512563,0.0,0.02870629,0.0,852,0.07041904,0.045293,12098
ARL0034,692,0,0,0,4670,946,1836,49478,3658,0,0,0,1,133.96208,SecurityGuard,6 - Security,41,39,27,21,26,0,54840,0.0,0.0,0.0,0.20252623,0.39306358,0.0,0.07393035,0.0,6440,0.11743039,0.10018052,54840
ASB0796,530,0,0,0,2298,484,972,25175,3282,0,0,0,1,66.38301,0,0,30,40,23,38,34,0,28003,0.0,0.0,0.0,0.21052632,0.42279252,0.0,0.13036224,0.0,4738,0.16919011,0.15190688,28003
ASD0577,692,0,0,0,329,0,184,3450,119,0,0,0,1,9.490786,ProductionLineWorker,3 - Assembly,40,48,36,14,37,0,4471,0.0,0.0,0.0,0.0,0.55757576,0.0,0.03448276,0.0,303,0.06775492,0.06775492,4471
ASG0048,692,0,0,0,3631,1475,1438,39444,2451,0,0,0,1,103.84822,AdministrativeAssistant,0,41,36,19,24,37,0,43767,0.0,0.0,0.0,0.40611234,0.3959251,0.0,0.062137153,0.0,5364,0.12255529,0.08885487,43767
ASG0692,692,0,0,0,2990,304,1254,32870,988,0,0,0,1,84.71125,ComputerScientist,2 - SoftwareManagement,26,40,41,23,27,0,36552,0.0,0.0,0.0,0.10163825,0.41925776,0.0,0.030056888,0.0,2546,0.06965229,0.061335593,36552
ASL0378,966,0,0,0,2992,625,934,32870,2150,0,0,0,1,86.06914,Scientist,1 - Research,15,15,41,21,27,0,36828,0.0,0.0,0.0,0.20882058,0.3120615,0.0,0.065407194,0.0,3709,0.10070868,0.08373836,36828
ASM0575,967,0,0,0,330,130,132,3450,85,0,0,0,1,9.418869,ProductionLineWorker,3 - Assembly,42,25,21,45,30,0,4747,0.0,0.0,0.0,0.39274925,0.39879155,0.0,0.024630541,0.0,347,0.0730834,0.045703456,4747
ASS0206,692,0,0,0,4660,0,2062,49335,1835,0,0,0,1,132.97731,SecurityGuard,6 - Security,12,18,20,28,30,0,54687,0.0,0.0,0.0,0.0,0.44239435,0.0,0.037193935,0.0,3897,0.071258776,0.071258776,54687
ASS0517,961,0,0,0,1011,304,292,10034,648,0,0,0,1,29.556011,Technician,3 - FieldService,36,35,47,44,32,0,12006,0.0,0.0,0.0,0.30039525,0.28853756,0.0,0.06457399,0.0,1244,0.10360623,0.07828767,12006
ASV0946,956,0,0,0,331,138,130,3450,187,0,0,0,1,9.724885,ProductionLineWorker,3 - Assembly,35,12,46,17,26,0,4737,0.0,0.0,0.0,0.41566265,0.39156628,0.0,0.054187194,0.0,455,0.09603208,0.06690587,4737
ATE0869,1427,17,391,0,7519,2298,3334,74205,6965,522,29,419,4,214.78767,Salesman,2 - Sales,13,15,40,44,33,0,84092,0.011904762,0.27380952,0.0,0.30558512,0.44335106,0.05544933,0.093860336,0.004982579,12643,0.15034544,0.12745413,84092
ATF0274,692,0,0,0,3019,922,1437,32870,1422,0,0,0,1,85.26621,HardwareEngineer,3 - Engineering,20,45,48,27,28,0,36581,0.0,0.0,0.0,0.305298,0.4758278,0.0,0.043260016,0.0,3781,0.103356846,0.07815319,36581
ATP0662,1245,106,84,0,5103,2009,2294,53339,2650,1273,70,784,2,145.37918,Manager,2 - SoftwareManagement,17,16,41,20,39,0,61744,0.085072234,0.06741573,0.0,0.39361286,0.44945142,0.054945055,0.04968129,0.012697385,7129,0.11545874,0.09276865,61744
AVM0947,750,0,0,0,337,40,104,3114,179,7701,460,5984,30,9.816761,ProductionLineWorker,3 - Assembly,10,25,30,44,39,0,17886,0.0,0.0,0.0,0.1183432,0.30769232,0.059724748,0.057463884,0.33454463,783,0.04377481,0.35036618,17886
AWM0764,692,0,0,0,1003,108,499,10034,1037,0,0,0,1,28.650084,Technician,3 - FieldService,47,37,39,42,36,0,11729,0.0,0.0,0.0,0.107569724,0.49701196,0.0,0.103338316,0.0,1644,0.14015345,0.1309463,11729
BAH0875,930,133,14,0,5386,556,1673,56052,6039,0,0,0,3,154.77852,Salesman,2 - Sales,43,19,26,17,30,0,62368,0.14285715,0.015037594,0.0,0.10321143,0.31056246,0.0,0.10773732,0.0,8401,0.13469833,0.12365117,62368
BAJ0654,776,375,0,0,986,290,305,10034,411,2919,163,279,42,28.137587,Technician,3 - FieldService,36,10,47,10,41,0,14994,0.48262548,0.0,0.0,0.29381967,0.3090172,0.055821918,0.04095665,0.018606203,1544,0.10296766,0.06635545,14994
BAK0964,692,0,0,0,340,74,95,3460,148,0,0,0,1,9.877928,ProductionLineWorker,3 - Assembly,25,16,22,18,28,0,4492,0.0,0.0,0.0,0.2170088,0.27859238,0.0,0.04276221,0.0,317,0.0705542,0.05408413,4492
BAL0044,3146,1358,4,0,3696,1116,1568,41379,7214,2900,178,2258,628,106.066864,ITAdmin,6 - Security,14,41,26,44,30,0,53379,0.43152207,0.0012710518,0.0,0.30186638,0.42412767,0.061358154,0.17433544,0.04230049,11434,0.21420008,0.20681903,53379
BAM0611,957,0,0,0,5016,1517,1480,56052,7249,0,0,0,1,143.30493,Salesman,2 - Sales,25,30,39,23,25,0,62025,0.0,0.0,0.0,0.30237195,0.294997,0.0,0.12932403,0.0,10246,0.16518879,0.1407313,62025
BAM0636,692,346,0,0,1001,100,312,10005,1479,0,0,0,1,28.503017,Technician,3 - FieldService,13,40,46,42,39,0,11698,0.4992785,0.0,0.0,0.0998004,0.31137726,0.0,0.14781131,0.0,2237,0.19121292,0.15309002,11698
BBG0325,1011,0,0,0,5032,1517,2095,56052,3865,349,16,729,2,142.68143,Salesman,2 - Sales,41,50,30,37,40,0,63173,0.0,0.0,0.0,0.30141068,0.41625273,0.045714285,0.0689526,0.011539557,7493,0.11860892,0.10588217,63173
BBH0810,692,346,0,0,3035,0,1187,32870,1044,0,0,0,1,87.71869,ComputerProgrammer,2 - SoftwareManagement,40,25,10,21,32,0,36597,0.4992785,0.0,0.0,0.0,0.39097497,0.0,0.031760518,0.0,2577,0.07041369,0.060959615,36597
BBS0039,1326,654,0,0,1679,343,797,17878,1743,1,1,4,385,47.6423,0,0,44,37,34,21,40,1,20888,0.492841,0.0,0.0,0.20416667,0.47440475,0.5,0.09748867,0.00019148835,3538,0.16937144,0.12178659,20888
BBS0422,996,109,139,0,3487,1047,1012,37525,398,499,25,305,3,99.32441,ElectricalEngineer,3 - Engineering,39,42,29,41,18,0,42812,0.10932799,0.13941826,0.0,0.30017203,0.29013762,0.05,0.01060598,0.0071240044,2591,0.060519002,0.040057927,42812
BCB0679,938,0,0,0,2439,997,1208,26695,968,0,0,0,3,69.92607,0,0,46,36,39,31,31,0,30072,0.0,0.0,0.0,0.40860656,0.49508196,0.0,0.036260113,0.0,3173,0.10550993,0.07235727,30072
BCM0653,692,346,0,0,1021,108,539,10034,310,0,0,0,1,29.38532,Technician,3 - FieldService,45,34,41,18,31,0,11747,0.4992785,0.0,0.0,0.105675146,0.5273973,0.0,0.030891879,0.0,1303,0.110912494,0.07226762,11747
BCR0581,1110,0,0,0,329,132,124,3460,90,0,0,0,3,9.3919,ProductionLineWorker,3 - Assembly,20,11,34,36,30,0,4899,0.0,0.0,0.0,0.4,0.37575758,0.0,0.026004044,0.0,346,0.070612244,0.04367347,4899
BDB0453,800,81,3,0,338,0,140,3460,178,0,0,0,1,9.455146,ProductionLineWorker,3 - Assembly,41,42,27,41,26,0,4598,0.101123594,0.0037453184,0.0,0.0,0.41297936,0.0,0.05143022,0.0,399,0.08675799,0.06914546,4598
BDI0533,1378,0,305,0,1302,385,581,13530,274,2458,138,1840,2,36.978,Technician,3 - FieldService,37,36,15,41,19,0,20508,0.0,0.22117476,0.0,0.295472,0.4458941,0.056120373,0.020249797,0.08971671,1378,0.067190014,0.13140573,20508
BDV0168,340,8,0,0,2427,511,952,26733,3685,36,1,32,1,69.58569,0,0,45,31,19,21,31,1,29568,0.02346041,0.0,0.0,0.21046129,0.39209226,0.027027028,0.13783945,0.0010822145,5157,0.17440563,0.15790185,29568
BEC0505,692,0,0,0,5019,1524,1989,52938,2978,0,0,0,1,143.59601,Salesman,2 - Sales,35,21,30,19,32,0,58649,0.0,0.0,0.0,0.30358565,0.39621514,0.0,0.056253422,0.0,6491,0.11067349,0.084688835,58649
BEH0615,1096,0,4,0,5123,1528,1425,57024,6941,268,18,780,22,147.07559,Salesman,2 - Sales,24,20,50,22,26,0,64291,0.0,0.003646308,0.0,0.29820454,0.27810305,0.0669145,0.12171854,0.012132147,9912,0.15417159,0.1422572,64291
